track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hot_or_not,cluster_kmean
blue christmas,elvis presley,3QiAAp20rPC3dcAtKtMaqQ,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,4,H,2
cruel summer,taylor swift,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,H,0
here comes santa claus (right down santa claus lane),gene autry,25leEEaz1gIpp7o21Fqyjo,0.834,0.371,1,-11.99,1,0.0358,0.799,0.0,0.275,0.976,96.628,4,H,6
run rudolph run,chuck berry,2pnPe4pJtq7689i5ydzvJJ,0.681,0.715,7,-10.609,0,0.0912,0.812,9.43e-06,0.0777,0.957,152.132,4,H,1
it's beginning to look a lot like christmas,michael buble,3ZfRpDV74gUbBCmW8yb6ml,0.419,0.245,7,-9.561,1,0.0334,0.901,2.74e-06,0.101,0.42,113.228,4,H,2
greedy,tate mcrae,3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1,H,8
little saint nick,the beach boys,5xlS0QkVrSH7ssEbBgBzbM,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,H,6
wonderful christmastime,paul mccartney,1SV1fxF65n9NhRHp3KlBuu,0.774,0.511,11,-8.914,1,0.0319,0.322,0.0,0.0672,0.771,94.736,4,H,6
please come home for christmas,eagles,3QIoEi8Enr9uHffwInGIsC,0.612,0.289,9,-11.568,1,0.0421,0.599,0.00266,0.0561,0.466,183.18,3,H,2
paint the town red,doja cat,2IGMVunIBsBLtEQyoI1Mu7,0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,4,H,6
santa claus is comin' to town,jackson 5,2QpN1ZVw8eJO5f7WcvUA1k,0.692,0.762,0,-4.867,1,0.0342,0.424,1.27e-05,0.181,0.961,146.673,4,H,6
water,tyla,5aIVCx5tnk0ntmdiinnYvw,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,4,H,1
"you're a mean one, mr. grinch",thurl ravenscroft,4mybTd8gHkEpCmMxOFKHwv,0.54,0.387,7,-13.86,1,0.539,0.944,8.8e-05,0.655,0.468,87.804,4,H,5
this christmas,donny hathaway,38xhBO2AKrJnjdjVnhJES6,0.634,0.645,5,-9.2,1,0.0376,0.292,0.0,0.246,0.677,93.047,4,H,6
agora hills,doja cat,7dJYggqjKo71KI9sLzqCs8,0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,4,H,1
last night,morgan wallen,7K3BhSpAxZBznislvUMVtn,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,4,H,0
mistletoe,justin bieber,7xapw9Oy21WpfEcib2ErSA,0.657,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,4,H,1
happy holiday / the holiday season,andy williams,3sDdyBHQ60Cs1opmIyRvhp,0.505,0.451,9,-10.193,0,0.0329,0.727,0.0,0.233,0.744,74.347,4,H,1
christmastime is here,vince guaraldi trio,6NQchnlpozM5o4n6WfDznd,0.336,0.17,5,-17.225,1,0.0327,0.957,0.661,0.0929,0.102,140.481,3,H,7
have yourself a merry little christmas,michael buble,1DnSNqCQM3LUxqFuXt184Q,0.275,0.276,9,-11.395,1,0.0321,0.602,0.00167,0.121,0.195,68.764,3,H,2
i saw mommy kissing santa claus,jackson 5,15sxLiiChE5dCW3Y756oas,0.583,0.712,3,-8.222,1,0.0538,0.263,1.02e-06,0.817,0.614,128.897,4,H,4
thinkin' bout me,morgan wallen,0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,4,H,1
fast car,luke combs,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,4,H,6
lose control,teddy swims,17phhZDn6oGtzMe56NuWvj,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3,H,0
lil boo thang,paul russell,0cVyQfDyRnMJ0V3rjjdlU3,0.85,0.699,0,-3.292,1,0.0776,0.152,0.0,0.32,0.915,114.481,4,H,6
ftcu,nicki minaj,1a73gcEg6h6Re6hHXoVltJ,0.928,0.458,11,-6.751,1,0.187,0.0175,0.000446,0.118,0.242,144.995,4,H,6
stick season,noah kahan,0mflMxspEfB0VbI1kyLiAv,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4,H,6
white horse,chris stapleton,7MSWxMumjz6lHj7oRApNbg,0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,4,H,3
used to be young,miley cyrus,41WQUSINanQHfhfKpFDsms,0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,4,H,0
houdini,dua lipa,4OMJGnvZfDvsePyCwRGO7X,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,4,H,1
world on fire,nate smith,5ya0TmUQw2wHMkq36rPsnd,0.461,0.887,11,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,4,H,1
la diabla,xavi,0R6NfOiLzLj4O5VbYSJAjf,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,3,H,1
pretty little poison,warren zeiders,2gT2iF1YK5r54A2PDEXVv8,0.518,0.557,1,-4.839,1,0.0332,0.0258,2.46e-06,0.156,0.216,111.865,3,H,0
on my mama,victoria monet,7DswEZZthZ6piQpL25qGAM,0.675,0.546,4,-7.716,0,0.0511,0.556,0.00441,0.167,0.607,77.415,4,H,1
my love mine all mine,mitski,3vkCueOmm7xQDoJ17W1Pm3,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4,H,2
exes,tate mcrae,0HD8mbiPjp3o94X3EaZp0o,0.838,0.569,5,-6.324,0,0.0621,0.152,0.000136,0.102,0.551,136.965,4,H,1
monaco,bad bunny,4MjDJD8cW7iVeWInc2Bdyj,0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4,H,4
strangers,kenya grace,5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4,H,1
you broke my heart,drake,5Se32hEA9raeboZerywxka,0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,4,H,1
get him back!,olivia rodrigo,2gyxAWHebV7xPYVxqoi86f,0.546,0.846,5,-5.719,1,0.181,0.0135,0.0,0.607,0.74,162.043,4,H,4
truck bed,hardy,103u49mLoJUge83B1CnLxI,0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,4,H,6
save me the trouble,dan + shay,7hZTywPKMdVjJzwdWu11BK,0.444,0.629,9,-4.435,1,0.0318,0.00544,0.0,0.271,0.376,134.931,3,H,0
la victima,xavi,5XVdHRf4CAJ2Jm0uMIy5qY,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,4,H,1
where the wild things are,luke combs,0eBFgRxyVSeuT4iyrbukdn,0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,4,H,6
you're losing me (from the vault),taylor swift,3CWq0pAKKTWb0K4yiglDc4,0.747,0.391,0,-13.767,1,0.052,0.529,0.003,0.111,0.195,102.984,4,H,2
500lbs,lil tecca,6rjuKpPydT2SxN15TZpV7r,0.722,0.785,7,-5.451,0,0.0763,0.0942,0.0,0.119,0.529,122.986,4,H,1
the painter,cody johnson,6UoKX6uLJwhsnyTp5k5StP,0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,4,H,6
never lose me,flo milli,6uTPdRrEDeH8Fyg5L5qmeU,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,4,H,6
burn it down,parker mccollum,09hVlIVHtEE1nLUv6YGZiW,0.461,0.718,2,-5.627,1,0.0666,0.139,1.66e-05,0.0968,0.334,162.187,4,H,0
dj play a christmas song,cher,18uSfZqFBxQFi8CsXOIbhy,0.533,0.76,11,-7.256,0,0.121,0.157,0.0,0.614,0.466,133.916,4,H,4
mind on you,george birge,7rr3gguU3TcVnLZD9VzASE,0.576,0.815,10,-3.999,0,0.0267,0.142,0.0,0.267,0.56,130.032,4,H,1
feather,sabrina carpenter,2Zo1PcszsT9WQ0ANntJbID,0.787,0.686,6,-4.37,0,0.0339,0.0893,0.0,0.0927,0.836,123.51,4,H,1
can't catch me now,olivia rodrigo,56xHMIfQPoe0prrSi3BGhf,0.521,0.366,11,-7.698,0,0.034,0.838,4.11e-06,0.12,0.225,141.965,4,H,2
standing next to you,jung kook,2KslE17cAJNHTsI2MI0jb2,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4,H,1
great gatsby,rod wave,4M68xjcc42oxyphhzpOWXS,0.67,0.555,1,-9.12,0,0.0908,0.0382,6.36e-06,0.414,0.16,156.937,4,H,1
rotunda,surgeon,0ITThluJ75byBK7SdUwR5W,0.724,0.941,6,-13.646,0,0.0555,8.61e-06,0.93,0.105,0.219,134.312,4,N,3
nosara,little symphony,2MV2CBFcQa6WPLFMicSvu3,0.0614,0.00153,0,-28.262,1,0.0516,0.969,0.995,0.112,0.0671,74.04,3,N,7
rat patrol,naked raygun,77wihvKjsijCbjkGnuAnnn,0.306,0.907,11,-10.353,1,0.0512,0.00175,0.523,0.45,0.564,134.978,4,N,0
who loves the sun - 2015 remaster,the velvet underground,1rJi8cf8OWsrX4CqBnMSoQ,0.441,0.568,4,-8.833,1,0.0298,0.326,0.0,0.368,0.721,130.131,4,N,6
sana değmez,3 hürel,5qHHMrS7MnxayRuf6wXqUV,0.511,0.364,7,-16.941,0,0.0444,0.0782,0.435,0.0745,0.543,160.043,4,N,3
bad decisions,the strokes,55N8cxpE1QDoeaaNqUnoZ2,0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,4,N,0
ready to rumble,hicksville bombers,64KZTBQqCG8OEWlidIM9ii,0.522,0.822,11,-7.568,0,0.0888,0.362,0.000181,0.136,0.844,202.457,4,N,1
so cold,breaking benjamin,4BJyt25nburVwbnESDeIc7,0.49,0.774,0,-5.436,0,0.0604,0.00305,8.16e-05,0.12,0.297,153.048,4,N,0
too late,lamorris williams,3V4QcyECt66Xmj6NoKEqlB,0.834,0.537,5,-5.337,1,0.0609,0.0817,0.0,0.235,0.729,133.001,4,N,6
right now,empire,1mK1HDtie9WU6DAw3VAC4r,0.402,0.961,6,-2.235,1,0.133,0.0445,2.86e-06,0.904,0.312,154.97,4,N,4
unbreakable,rygin king,48eDHR9rcXM4qpJwfXyUhG,0.586,0.556,2,-11.042,1,0.345,0.111,0.0,0.121,0.522,80.949,4,N,6
from dusk till dawn,upon a burning body,5K33HCwChkSVoO9Vh4KtDv,0.362,0.98,9,-4.143,0,0.253,4.28e-05,4.97e-06,0.324,0.205,118.567,4,N,0
eat what you kill,unleash the archers,4e3nB8NXaIZyjImZvwQdh8,0.36,0.967,2,-1.574,1,0.0706,0.00113,0.0488,0.34,0.184,117.778,4,N,0
pagan dream machine - vibrasphere remix,entheogenic,5BRXWwO8o77U6717HnpbCL,0.592,0.506,4,-12.327,0,0.039,0.00346,0.606,0.406,0.289,89.991,4,N,3
like you used to,kidnap,6DVm8BPg3ltHIcrrNacCVe,0.696,0.459,5,-10.573,0,0.0287,0.117,0.495,0.0823,0.221,120.041,4,N,3
the emperor,firespawn,06rOxukSVjlayGLatbjU3D,0.434,0.97,7,-5.44,1,0.162,5.4e-05,0.708,0.279,0.074,120.026,4,N,3
technology,carl craig,3YOTmsDDNbu87ZnZlaXIz0,0.724,0.551,10,-11.679,0,0.0709,0.00489,0.114,0.097,0.558,128.006,4,N,1
never forget my love,joss stone,0bkZDWw012IDeE8mkGScga,0.609,0.697,4,-5.162,0,0.0911,0.382,0.00123,0.231,0.87,159.847,4,N,1
golden hour,dustycloud,6b6CdXY3wpG7OFtp6FOwLz,0.681,0.627,8,-8.842,1,0.159,0.303,7.04e-05,0.245,0.135,125.008,4,N,6
salvaje,timothy infinite,5pHVJGizchdV0tApncpJjf,0.869,0.718,7,-6.476,1,0.0935,0.0092,0.619,0.877,0.394,120.006,4,N,4
punchiri thanjum,shankar mahadevan,3MKKUXDerbZYgiakyrzjKm,0.588,0.198,0,-13.095,1,0.0306,0.727,0.0,0.169,0.427,117.096,4,N,2
time to move on,hozho,5QxuFcNJ9WsSJmRzj8Z1GZ,0.743,0.697,1,-6.922,1,0.039,0.0483,0.709,0.109,0.211,126.989,4,N,3
du machst mich süchtig,michelle,3DCi2g9Dc8KDWW4fq4Xd7z,0.686,0.862,0,-4.387,0,0.031,0.202,5.27e-06,0.126,0.613,123.995,4,N,1
um dia,pablo,0PO7wSSVIiQvQNfbyENGhO,0.69,0.621,2,-6.87,0,0.0266,0.285,0.0,0.383,0.815,131.993,4,N,1
the way of the ghost,ilan eshkeri,0AnsIh2o4sa9p8pHJOi9oI,0.171,0.162,7,-15.387,0,0.0432,0.709,0.921,0.149,0.0368,114.473,4,N,7
ending,peter sandberg,7kpQEBD4c4uHzGBAI5fqY6,0.567,0.207,6,-22.354,0,0.037,0.963,0.925,0.105,0.151,143.999,3,N,7
fora de ocasião - ao vivo,samba de raiz,6bUu7IIJwcAfmWWfeNKgjs,0.369,0.713,0,-10.669,1,0.122,0.719,1.58e-05,0.617,0.884,201.629,4,N,4
mooskaan,sajjan raj vaidya,6quygE0BQuMUY861Crte1N,0.623,0.22,2,-16.672,1,0.0423,0.813,5.8e-05,0.107,0.475,136.007,4,N,2
vapaa maa,stam1na,3MOsHKmIogiLjwZlxEOAL6,0.434,0.926,2,-4.324,1,0.0756,0.000209,0.0186,0.342,0.495,151.984,4,N,0
confide (contour 1) - booka shade rework,booka shade,1ALfsBaSLSoRKhaU1EPBiU,0.625,0.591,7,-11.039,0,0.0342,0.00502,0.915,0.123,0.0411,124.999,4,N,3
take california,propellerheads,6po71PeJnTDHZdqYcFfAY1,0.749,0.873,0,-5.651,1,0.0571,0.000259,0.807,0.172,0.143,119.833,4,N,3
流星群,=love,0ZUTV4cvtNiZyMqqQstT8f,0.6,0.879,9,-4.02,1,0.0584,0.106,2.78e-05,0.303,0.565,125.031,4,N,6
on my way,mr. fingers,5QKeAMzI8zYU6sVmYhYjB8,0.655,0.343,0,-19.352,1,0.0371,0.0426,0.704,0.202,0.268,115.117,4,N,3
tonight,the soundtrack of our lives,0LeUR1R1Vi0zzZc8Q3wzHy,0.193,0.277,2,-9.531,1,0.0345,0.957,0.355,0.138,0.234,85.164,4,N,2
coral de anjos,grupo sensação,3NQ9kBo6RYwjr867eDOENU,0.413,0.917,2,-5.999,0,0.0742,0.313,0.0,0.732,0.478,77.635,4,N,4
duas de cinco,criolo,70JWkhnzaKDDU8VpMsBleo,0.658,0.718,5,-8.128,0,0.076,0.0446,0.0036,0.2,0.514,80.112,4,N,1
for a minute or two,toini & the tomcats,5bpRBSk8PWLSDORhAUkEv5,0.763,0.472,7,-8.232,1,0.0429,0.5,0.0,0.263,0.583,125.339,4,N,6
joy,andy grammer,4Hn4zAkBUaNnT8m9p7cYaf,0.675,0.793,2,-6.0,1,0.157,0.108,0.0,0.103,0.233,111.907,4,N,6
be my love,il volo,5Rj14suRfZJIpDFC1e8pMK,0.197,0.497,9,-4.18,0,0.0323,0.768,0.00203,0.139,0.199,81.642,3,N,2
the answer,aaron carl,3eCLAuvGkXm3ysWPu7pTbM,0.797,0.229,9,-13.059,0,0.13,0.000133,0.936,0.0778,0.663,133.989,4,N,3
poema,nadezhda kazantseva,3DEP80dFPwaYskFpipy0CV,0.291,0.116,1,-16.421,1,0.044,0.992,0.00107,0.102,0.113,100.629,5,N,2
killing scum - promo remix,the masochist,6e1Df4Yw06ia1QssjIigj2,0.698,0.996,9,-4.241,1,0.178,0.0185,0.706,0.453,0.0783,151.854,4,N,3
last winter,atria,4rdiaPrUHc2k18yfzQr9jH,0.507,0.976,2,-3.871,1,0.215,2.08e-05,0.00393,0.224,0.111,130.023,4,N,0
don't leave 2.0 (until the ribbon breaks remix),faithless,1tX1L9yabmvELZk2l7cA0v,0.633,0.52,10,-6.238,0,0.0351,0.559,0.00061,0.192,0.458,73.493,4,N,1
ik ben een kikker,feest dj maarten,6GZeLWmTs4LavBVpKQw6O8,0.446,0.829,2,-7.53,1,0.0378,0.000848,3.08e-05,0.242,0.213,154.139,4,N,0
if you ever forget that you love me,isak danielson,7jrwY3Z674xbQbNp2tlvwz,0.41,0.209,3,-9.749,0,0.0366,0.868,1.33e-05,0.106,0.173,75.793,5,N,2
paradise,goldbird,135RMzvVpxXTQFNytGrbWB,0.611,0.721,11,-7.589,0,0.0294,0.0092,2.06e-05,0.216,0.355,122.948,4,N,1
wonderland,so_nny,6qeMnGssbQmFZQ4NA9NPT2,0.726,0.369,0,-10.117,0,0.049,0.841,0.84,0.138,0.726,80.018,4,N,3
the equalizer,harry gregson-williams,1EW89f5iyD8x0n89N3cE6w,0.396,0.424,7,-13.333,1,0.0338,0.0612,0.832,0.0916,0.0547,139.305,4,N,3
siege of power,napalm death,72fIph43dZXUHObobvIeNn,0.257,0.982,8,-7.984,1,0.136,2.47e-05,0.199,0.288,0.0472,117.309,4,N,0
the bloodiests -最も血生臭い奴ら-,seikima-ii,40ZuPoRNZivOPIHuNelkaU,0.356,0.851,7,-5.548,0,0.0476,1.2e-05,1.96e-05,0.32,0.376,89.938,4,N,1
vintersång,carola,1RQm4qxsxKymvP5t1P7smQ,0.3,0.12,9,-15.097,1,0.0384,0.973,0.000302,0.0885,0.113,79.355,4,N,2
oxydation,static breather,0ps8AEK7yyrTjM2DAO7gKN,0.719,0.396,6,-12.47,1,0.0773,0.0702,0.275,0.0815,0.529,159.964,4,N,6
antonios röst,germaine franco,38sDn4Exgc4MBFuC90zKMh,0.424,0.321,7,-11.358,1,0.0613,0.501,0.601,0.106,0.213,108.063,4,N,2
identities,lil dusty g,0opflBNj8NQehW3Q0oXueA,0.75,0.618,1,-4.633,0,0.0761,0.0273,0.149,0.102,0.548,83.004,4,N,1
humba täterä - stadion-mix,tim toupet;dj padre,4ylu5OWr24o3WwZj4a5w9H,0.764,0.986,1,-2.677,0,0.165,0.165,0.0,0.0951,0.384,127.974,4,N,1
return to sender,elvis presley,3uwIoa2emQILz6BmH6MtiW,0.845,0.563,8,-9.488,1,0.0439,0.628,0.0,0.0614,0.969,130.335,4,N,6
tudo encontrarás,raquel ferreira,2IVab0m6jTd7uk224PrpV5,0.239,0.231,5,-11.927,1,0.0344,0.909,0.000305,0.0796,0.0945,92.517,5,N,2
return to zero - the mystery land anthem,marshall masters,3Rn21K5Te3TUM0AcFtisuX,0.679,0.866,8,-9.691,1,0.0719,3.84e-05,0.755,0.956,0.0457,147.086,4,N,4
contratempo - ao vivo,imaginasamba,7jyuOPcQ055UohYuhKhK83,0.472,0.632,1,-6.609,1,0.0525,0.632,0.0,0.898,0.486,141.964,4,N,4
say yes,cupid,6455q2sm0znfcevxSCzMMW,0.68,0.616,8,-5.955,1,0.0321,0.00541,0.0,0.136,0.374,112.425,4,N,6
when you wish upon a star (from 'pinocchio'),the harp and the piano,6VFxRq4MijvsZagCztOQF5,0.744,0.00738,1,-31.114,1,0.0904,0.995,0.955,0.106,0.526,131.81,3,N,7
100 degrees in the shade,breaking grass,018TIqGwVaEzXN8JSwpG6q,0.571,0.601,11,-6.26,0,0.0651,0.463,0.0,0.0865,0.65,161.845,4,N,1
fight for life,el perro del mar,2RbR0Fxh0rHcu2TALqUdzw,0.195,0.486,0,-10.154,1,0.039,0.445,0.259,0.175,0.0444,166.883,3,N,2
unrepentant,dwarves,2mtHYlHTrxGxwR0xqy05Ks,0.178,0.987,4,-5.47,0,0.0827,0.00173,0.0,0.634,0.144,171.719,4,N,0
another song about the weekend,a day to remember,7tbiocoo8o82H8VAb3cppH,0.443,0.941,0,-4.824,1,0.0648,2.39e-05,0.0,0.0965,0.644,163.007,4,N,0
與我無關,andrew tan,2wN8SlgU24PixFHmaNNU8A,0.461,0.212,6,-12.389,1,0.036,0.87,0.0,0.107,0.366,123.114,4,N,2
um sonho louco (acústico),bruno & marrone,7sTYPovuHFjhdAsu53agiJ,0.498,0.622,2,-7.396,1,0.0323,0.401,4.17e-05,0.547,0.462,147.815,4,N,4
a quiet place to die,alpha wolf,0qW7uuJfh6tuDocaamHi0I,0.542,0.958,8,-3.536,1,0.151,0.000627,0.149,0.307,0.0817,110.003,4,N,0
rock that body - original mix,scott brown,5x7fCsytj0BqeZQML8TtqY,0.724,0.987,10,-3.936,0,0.0557,0.00162,0.179,0.0183,0.841,169.993,4,N,1
minha bênção,cassiane,5SS4AAEBMOMVGJTlKS7Hnw,0.356,0.623,6,-3.633,1,0.0365,0.401,0.0,0.193,0.481,139.493,4,N,0
get it on tonite (re-recorded / remastered),montell jordan,4rf0pEYSSku3Tkrm0JEYn2,0.771,0.543,10,-7.633,0,0.0441,0.0324,0.0,0.0846,0.891,99.029,4,N,1
el amor más bonito,tito nieves,7DKfdeKsm1RZczzJWK7jAY,0.488,0.865,0,-4.956,1,0.0389,0.5,1.04e-05,0.0737,0.915,94.375,4,N,6
fiore,alvize fantacone,6DRCugEZcKbSOK9OT5cNvM,0.606,0.0157,9,-28.185,1,0.0683,0.996,0.942,0.0898,0.0639,47.745,4,N,7
como ninguém me vê - ao vivo,andré valadão,03HIAI4UJ7ux9j8BBV8aPs,0.447,0.757,7,-5.832,0,0.0417,0.0776,0.0,0.713,0.304,134.987,4,N,4
gunfight,sick puppies,0is4yL58CcQ4Gv4WgTGr9N,0.386,0.812,0,-5.435,1,0.054,7.19e-05,0.00036,0.0809,0.508,173.102,4,N,0
te amaré,miguel bosé,3PFyeq4aBtLfShPJ9oiK4p,0.452,0.302,3,-17.023,1,0.0355,0.0663,0.0,0.116,0.381,149.163,4,N,2
fuschia,dark0,0s5yttSe2VtuahRqYQMROn,0.785,0.461,7,-6.281,1,0.0841,0.0597,0.943,0.138,0.252,142.041,4,N,3
panes,anenon,0i4m0jgUSjsE8PQdsP3Zla,0.364,0.444,0,-12.159,1,0.0383,0.78,0.947,0.112,0.0376,120.228,4,N,7
ausencia,horcas,1ygPdQ2Pfz0y6LIZ2wAUyB,0.281,0.584,8,-7.698,1,0.0312,0.00203,0.022,0.114,0.148,140.638,4,N,0
loudest stereo,anal cunt,0NTTfLoedCixGKsVjN2mRx,0.227,0.995,4,-5.943,0,0.222,0.000342,0.0248,0.247,0.0383,186.073,4,N,0
wiggle it,patty shukla,2tO0tqchJ1PZdXtbFU9dYu,0.831,0.555,2,-5.342,1,0.298,0.131,0.0,0.0493,0.803,150.076,4,N,6
every rose has its thorn - remastered 2003,poison,7pvusfsrgKxIDmQNAXDPrF,0.533,0.647,6,-5.556,1,0.0332,0.161,1.18e-05,0.372,0.287,140.165,4,N,0
con ella,cristian,2eL6F10TM9LG7ja2GeEJHs,0.449,0.551,4,-4.77,1,0.0308,0.313,0.0,0.132,0.156,77.927,4,N,2
by your side,iamjakehill,3x04ph0jWlk4EgxgQ42gdK,0.694,0.573,9,-9.218,1,0.125,0.371,0.0,0.124,0.772,167.92,4,N,6
with me,sum 41,1OTvWduKQV0MQd2gnGM9He,0.167,0.851,4,-4.039,1,0.0421,0.0127,0.0,0.172,0.11,175.426,3,N,0
you gonna buy the beers or the whole damn bar,the tony danza tapdance extravaganza,3WG1vMf7pderKNGqzRVxjQ,0.198,0.989,10,-5.037,0,0.125,5.33e-05,0.00322,0.379,0.0714,101.198,1,N,8
eleanor - edit,hot chip,4kLyAbRTMMfmAH5Fjm3cYU,0.648,0.844,4,-5.561,0,0.0515,0.0103,0.000253,0.118,0.686,127.033,4,N,1
legion,noisecream,11R11Ii4a5TGXQNDAvPD3H,0.6,0.782,7,-7.469,1,0.103,9.97e-05,0.389,0.0976,0.119,99.964,4,N,3
for every forever,mathame,5M3127VkGWY0e49f8lrEQL,0.714,0.537,4,-8.739,0,0.0421,0.00234,0.386,0.0856,0.0555,128.037,4,N,3
on t o p,richi ray,7sucmGw9hneTAWeuQdcOBw,0.749,0.34,0,-11.855,1,0.183,0.265,1.25e-05,0.0791,0.431,94.026,4,N,6
mad sumbdy,teebone,30d2f7wlZ6XwyGnyh8pIoH,0.508,0.619,1,-7.945,1,0.432,0.897,0.0,0.104,0.711,64.086,5,N,6
midnight sun,nostalgique,5KolfjuT47YtcjESszDxQL,0.733,0.355,0,-11.854,1,0.0369,0.287,0.752,0.0895,0.216,80.972,4,N,3
super gremlin freestyle,badkidmacei,100fdP6bcT8byvdEdAAcTJ,0.683,0.473,2,-8.68,1,0.0608,0.00097,0.0,0.383,0.112,146.067,4,N,0
f.i.f.o. (outbreak remix) - edit,brennan heart,2DgNGXMJ92AHIaBWYXI7XW,0.35,0.859,1,-3.593,1,0.183,0.0177,2.14e-06,0.135,0.256,149.966,4,N,0
